sort,SUBJECT,SESSION,File,TIME_WINDOW,GENDER,PEAK,ELEC,COND_NUM,evoked0,quest0,cond0,chan0,tmin0,tmax0,mode0,chanX,latX,valX,SUB,SES,TASK,RUN,CHAN_BUND
15,6,4,sub-06pppm_task-lexdec_run-004,2,2,6.686224,O1,1,evokedZ,word_set,verb_X,LP,0.19,0.29,pos,LP,,6.9355970000000005,06pppm,eeg001,lexdec,4,
15,6,4,sub-06pppm_task-lexdec_run-004,2,2,6.847591,O2,1,evokedZ,word_set,verb_X,RP,0.19,0.29,pos,RP,,9.868933666666667,06pppm,eeg001,lexdec,4,
16,7,1,sub-07zrxf_task-lexdec_run-001,2,1,2.030628,AF3,1,evokedZ,word_set,verb_X,LF,0.19,0.29,pos,LF,,2.232496333333333,07zrxf,eeg001,lexdec,1,
16,7,1,sub-07zrxf_task-lexdec_run-001,2,1,2.366453,AF4,1,evokedZ,word_set,verb_X,RF,0.19,0.29,pos,RF,,2.6570846666666665,07zrxf,eeg001,lexdec,1,
16,7,1,sub-07zrxf_task-lexdec_run-001,2,1,3.9032120000000003,C1,1,evokedZ,word_set,verb_X,LC,0.19,0.29,pos,LC,,4.3329195,07zrxf,eeg001,lexdec,1,
16,7,1,sub-07zrxf_task-lexdec_run-001,2,1,5.622898999999999,C2,1,evokedZ,word_set,verb_X,RC,0.19,0.29,pos,RC,,5.184815333333334,07zrxf,eeg001,lexdec,1,
16,7,1,sub-07zrxf_task-lexdec_run-001,2,1,3.712197,O1,1,evokedZ,word_set,verb_X,LP,0.19,0.29,pos,LP,,4.635514333333333,07zrxf,eeg001,lexdec,1,
16,7,1,sub-07zrxf_task-lexdec_run-001,2,1,5.010619,O2,1,evokedZ,word_set,verb_X,RP,0.19,0.29,pos,RP,,5.7320106666666675,07zrxf,eeg001,lexdec,1,
17,7,2,sub-07zrxf_task-lexdec_run-002,2,1,3.279469,AF3,1,evokedZ,word_set,verb_X,LF,0.19,0.29,pos,LF,,3.5737141666666665,07zrxf,eeg001,lexdec,2,
17,7,2,sub-07zrxf_task-lexdec_run-002,2,1,4.223791,AF4,1,evokedZ,word_set,verb_X,RF,0.19,0.29,pos,RF,,3.5143223333333338,07zrxf,eeg001,lexdec,2,
17,7,2,sub-07zrxf_task-lexdec_run-002,2,1,5.223133,C1,1,evokedZ,word_set,verb_X,LC,0.19,0.29,pos,LC,,4.653805,07zrxf,eeg001,lexdec,2,
17,7,2,sub-07zrxf_task-lexdec_run-002,2,1,6.015427,C2,1,evokedZ,word_set,verb_X,RC,0.19,0.29,pos,RC,,6.171643833333333,07zrxf,eeg001,lexdec,2,
17,7,2,sub-07zrxf_task-lexdec_run-002,2,1,3.55625,O1,1,evokedZ,word_set,verb_X,LP,0.19,0.29,pos,LP,,4.989176666666666,07zrxf,eeg001,lexdec,2,
17,7,2,sub-07zrxf_task-lexdec_run-002,2,1,7.110991,O2,1,evokedZ,word_set,verb_X,RP,0.19,0.29,pos,RP,,7.106820333333334,07zrxf,eeg001,lexdec,2,
18,7,3,sub-07zrxf_task-lexdec_run-003,2,1,1.878035,AF3,1,evokedZ,word_set,verb_X,LF,0.19,0.29,pos,LF,,2.1876230000000003,07zrxf,eeg001,lexdec,3,
18,7,3,sub-07zrxf_task-lexdec_run-003,2,1,1.26835,AF4,1,evokedZ,word_set,verb_X,RF,0.19,0.29,pos,RF,,1.9749960000000002,07zrxf,eeg001,lexdec,3,
18,7,3,sub-07zrxf_task-lexdec_run-003,2,1,3.387853,C1,1,evokedZ,word_set,verb_X,LC,0.19,0.29,pos,LC,,2.7123748333333335,07zrxf,eeg001,lexdec,3,
18,7,3,sub-07zrxf_task-lexdec_run-003,2,1,5.1159349999999995,C2,1,evokedZ,word_set,verb_X,RC,0.19,0.29,pos,RC,,5.168234166666667,07zrxf,eeg001,lexdec,3,
18,7,3,sub-07zrxf_task-lexdec_run-003,2,1,2.2776080000000003,O1,1,evokedZ,word_set,verb_X,LP,0.19,0.29,pos,LP,,2.918086666666667,07zrxf,eeg001,lexdec,3,
18,7,3,sub-07zrxf_task-lexdec_run-003,2,1,4.424798,O2,1,evokedZ,word_set,verb_X,RP,0.19,0.29,pos,RP,,5.2116835,07zrxf,eeg001,lexdec,3,
19,7,4,sub-07zrxf_task-lexdec_run-004,2,1,3.298397,AF3,1,evokedZ,word_set,verb_X,LF,0.19,0.29,pos,LF,,3.179266666666667,07zrxf,eeg001,lexdec,4,
19,7,4,sub-07zrxf_task-lexdec_run-004,2,1,3.929208,AF4,1,evokedZ,word_set,verb_X,RF,0.19,0.29,pos,RF,,2.9958466666666665,07zrxf,eeg001,lexdec,4,
19,7,4,sub-07zrxf_task-lexdec_run-004,2,1,3.4437480000000003,C1,1,evokedZ,word_set,verb_X,LC,0.19,0.29,pos,LC,,2.7473173333333336,07zrxf,eeg001,lexdec,4,
19,7,4,sub-07zrxf_task-lexdec_run-004,2,1,4.195551999999998,C2,1,evokedZ,word_set,verb_X,RC,0.19,0.29,pos,RC,,4.097751,07zrxf,eeg001,lexdec,4,
19,7,4,sub-07zrxf_task-lexdec_run-004,2,1,4.162955999999999,O1,1,evokedZ,word_set,verb_X,LP,0.19,0.29,pos,LP,,4.299148833333334,07zrxf,eeg001,lexdec,4,
19,7,4,sub-07zrxf_task-lexdec_run-004,2,1,5.410888,O2,1,evokedZ,word_set,verb_X,RP,0.19,0.29,pos,RP,,5.2864154999999995,07zrxf,eeg001,lexdec,4,
20,8,1,sub-08pnxm_task-lexdec_run-001,2,2,2.5710189999999997,AF3,1,evokedZ,word_set,verb_X,LF,0.19,0.29,pos,LF,,3.1821803333333336,08pnxm,eeg001,lexdec,1,
20,8,1,sub-08pnxm_task-lexdec_run-001,2,2,2.5807330000000004,AF4,1,evokedZ,word_set,verb_X,RF,0.19,0.29,pos,RF,,2.28722,08pnxm,eeg001,lexdec,1,
20,8,1,sub-08pnxm_task-lexdec_run-001,2,2,3.213151,C1,1,evokedZ,word_set,verb_X,LC,0.19,0.29,pos,LC,,4.094523,08pnxm,eeg001,lexdec,1,
20,8,1,sub-08pnxm_task-lexdec_run-001,2,2,3.669978,C2,1,evokedZ,word_set,verb_X,RC,0.19,0.29,pos,RC,,2.5359765,08pnxm,eeg001,lexdec,1,
20,8,1,sub-08pnxm_task-lexdec_run-001,2,2,6.330106,O1,1,evokedZ,word_set,verb_X,LP,0.19,0.29,pos,LP,,6.180682,08pnxm,eeg001,lexdec,1,
20,8,1,sub-08pnxm_task-lexdec_run-001,2,2,6.48473,O2,1,evokedZ,word_set,verb_X,RP,0.19,0.29,pos,RP,,5.1097391666666665,08pnxm,eeg001,lexdec,1,
21,8,2,sub-08pnxm_task-lexdec_run-002,2,2,0.4143850000000001,AF3,1,evokedZ,word_set,verb_X,LF,0.19,0.29,pos,LF,,1.6705430000000001,08pnxm,eeg001,lexdec,2,
21,8,2,sub-08pnxm_task-lexdec_run-002,2,2,-0.054041,AF4,1,evokedZ,word_set,verb_X,RF,0.19,0.29,pos,RF,,1.0736363333333332,08pnxm,eeg001,lexdec,2,
21,8,2,sub-08pnxm_task-lexdec_run-002,2,2,3.302868,C1,1,evokedZ,word_set,verb_X,LC,0.19,0.29,pos,LC,,3.6532655000000003,08pnxm,eeg001,lexdec,2,
21,8,2,sub-08pnxm_task-lexdec_run-002,2,2,2.093316,C2,1,evokedZ,word_set,verb_X,RC,0.19,0.29,pos,RC,,2.7736219999999996,08pnxm,eeg001,lexdec,2,
21,8,2,sub-08pnxm_task-lexdec_run-002,2,2,5.318475,O1,1,evokedZ,word_set,verb_X,LP,0.19,0.29,pos,LP,,4.8115086666666675,08pnxm,eeg001,lexdec,2,
21,8,2,sub-08pnxm_task-lexdec_run-002,2,2,5.306941,O2,1,evokedZ,word_set,verb_X,RP,0.19,0.29,pos,RP,,4.521367499999999,08pnxm,eeg001,lexdec,2,
