set0,evoked0,quest0,cond0,chan1,later0,coron0,tmin0,class0,mode0,type0,subj0,runn0,nave0,latX,valX
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,41roxm,0,,,0.4829825
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.6,bva,pos,chan0,42aszm,0,,,0.91920625
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,03mjkf,0,,,4.62854375
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,04mkkm,0,,,0.93971325
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,05jwxf,0,,,3.959604
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,06pppm,0,,,2.51523225
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,07zrxf,0,,,-1.1449572499999998
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,08pnxm,0,,,0.89024725
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,10mczf,0,,,2.3261185
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,11kbxm,0,,,-0.14743299999999993
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,12jnxf,0,,,-0.4728835
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,13jsxm,0,,,1.09142025
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,14ktxf,0,,,1.97298
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,16olxm,0,,,0.11152025000000004
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,18skxm,0,,,-0.7825440000000001
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,19jgxf,0,,,1.1715355
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,20jpxf,0,,,1.7029349999999999
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,21koxf,0,,,1.10902375
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,22foxm,0,,,5.3365212500000005
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,23zdxf,0,,,2.8814900000000003
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,25abxf,0,,,-0.01020625
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,27mwxf,0,,,0.90028675
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,28pmsf,0,,,0.8464852500000001
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,29jjxf,0,,,0.96548925
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,30mszf,0,,,1.604758
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,32mjxf,0,,,1.80204925
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,34gsxm,0,,,1.1142952499999998
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,35mwxm,0,,,1.4576747499999998
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,36rwxm,0,,,1.441697
Z0,evokedZ,word_set,noun_F,AF4,R,F,0.1,bva,pos,chan0,38slxm,0,,,2.1025832500000003
